"","LAKE_NAME","SURVEY_ID","DOWLKNUM","N"
"245","Rush","71014700_2003_1",71014700,112
"246","Pearl","73003700_2014_1",73003700,422
"247","Pearl","73003700_2017_1",73003700,412
"248","Grand","73005500_2010_1",73005500,173
"249","Kreigle","73009700_2000_1",73009700,226
"250","Pelican","73011800_2010_1",73011800,257
"251","Ochotto","73012200_2012_1",73012200,136
"252","Koronis","73020002_2017_1",73020002,367
"253","Koronis","73020002_2018_2",73020002,160
"254","Koronis","73020002_2018_2",73020000,216
"255","Mound","77000700_2005_1",77000700,152
"256","Big Swan","77002300_2004_1",77002300,299
"257","Little Birch","77008900_2004_1",77008900,233
"258","Osakis","77021500_2006_1",77021500,1716
"259","Lower Twin","80003000_2005_1",80003000,206
"260","Blueberry","80003400_2005_1",80003400,380
"261","St. Olaf","81000300_2014_1",81000300,337
"262","St. James","83004300_2018_1",83004300,131
"263","Pulaski","86005300_2001_1",86005300,65
"264","Little Waverly","86010600_2009_1",86010600,136
"265","Waverly","86011400_2004_1",86011400,227
"266","Waverly","86011400_2009_1",86011400,158
"267","Maple","86013401_2015_1",86013401,420
"268","Little Mary","86013900_2005_1",86013900,202
"269","Little Mary","86013900_2006_1",86013900,202
"270","Bass","86023400_2005_1",86023400,181
"271","Moose","86027100_2015_1",86027100,220
