"","LAKE_NAME","SURVEY_ID","DOWLKNUM","N.x","N.y"
"255","Turtle","31072500_2013_1",31072500,1105,1104
"256","Upper Cullen","18037600_2007_1",18037600,314,314
"257","Upper Gull","11021800_2008_1",11021800,185,184
"258","Upper Mission","18024200_2005_1",18024200,575,574
"259","Upper Mission","18024200_2012_1",18024200,NA,376
"260","Upper Twin","29015700_2005_1",29015700,177,177
"261","Wabedo","11017100_2007_1",11017100,549,548
"262","Washburn","11005900_2006_1",11005900,849,848
"263","Washburn","11005900_2009_1",11005900,881,881
"264","Waverly","86011400_2004_1",86011400,227,227
"265","Waverly","86011400_2009_1",86011400,159,158
"266","White Iron","69000400_2014_1",69000400,NA,640
"267","White Oak","11001600_2001_1",11001600,NA,75
"268","Whitefish","18031000_2011_1",18031000,1568,1567
"269","Wild Rice","69037100_2004_1",69037100,411,410
"270","Winnibigoshish","11014700_2017_1",11014700,NA,806
"271","Woman","11020100_2006_1",11020100,2215,2214
